ID,Gestational_Duration,specifics
alabama,total ban,X
alaska,no ban,X
arizona,after 18 weeks,Viability
arkansas,total ban,X
california,after 18 weeks,Viability
colorado,no ban,X
connecticut,after 18 weeks,Viability
delaware,after 18 weeks,Viability
district of columbia,no ban,X
florida,under 18 weeks,6 weeks
georgia,under 18 weeks,6 weeks
hawaii,after 18 weeks,Viability
idaho,total ban,X
illinois,after 18 weeks,Viability
indiana,total ban,X
iowa,under 18 weeks,6 weeks
kansas,after 18 weeks,22 weeks
kentucky,total ban,X
louisiana,total ban,X
maine,after 18 weeks,Viability
maryland,no ban,X
massachusetts*,after 18 weeks,24 weeks
michigan,no ban,X
minnesota,no ban,X
mississippi,total ban,X
missouri,after 18 weeks,Viability
montana,after 18 weeks,Viability
nebraska,under 18 weeks,12 weeks
nevada,after 18 weeks,24 weeks (since fertilization)
new hampshire,after 18 weeks,24 weeks
new jersey,no ban,X
new mexico,no ban,X
new york,after 18 weeks,24 weeks or viability (since commencement of pregnancy)
north carolina,under 18 weeks,12 weeks
north dakotaâ€ ,after 18 weeks,Viability
ohio,after 18 weeks,20 weeks (since fertilization)
oklahoma,total ban,X
oregon,no ban,X
pennsylvania,after 18 weeks,24 weeks
rhode island,after 18 weeks,Viability
south carolina,under 18 weeks,6 weeks
south dakota,total ban,X
tennessee,total ban,X
texas,total ban,X
utah,under 18 weeks,18 weeks
vermont,no ban,X
virginia,after 18 weeks,3rd trimester
washington,after 18 weeks,Viability
west virginia,total ban,X
wisconsin,after 18 weeks,20 weeks (since fertilization)
wyoming,after 18 weeks,Viability
